package_name,download_count
boto3,402012517
botocore,190764765
urllib3,190554859
setuptools,181662570
requests,165563977
certifi,152457791
packaging,150472966
idna,148735031
charset-normalizer,147146285
typing-extensions,140025630
python-dateutil,129557249
s3transfer,121918037
aiobotocore,120378775
grpcio-status,116233554
PyYAML,109889745
six,104821839
numpy,102253186
wheel,100086234
fsspec,96906146
s3fs,94213614
pip,90740852
cryptography,90127616
pydantic,88522701
attrs,81646824
cffi,80832080
pycparser,78500270
click,78031530
pandas,77970433
jmespath,77794965
importlib-metadata,77654413
google-api-core,77194875
colorama,74830315
pyasn1,73100694
zipp,72307230
rsa,72197494
rich,71463697
MarkupSafe,70923630
pytz,69938761
jinja2,68954884
protobuf,68101990
platformdirs,67958011
awscli,67175625
pytest,67169116
tomli,65990274
aiohttp,60606535
PyJWT,59184946
pluggy,59027714
virtualenv,58791479
pydantic-core,57447734
SQLAlchemy,55484326
docutils,54860143
jsonschema,51809072
google-auth,51713484
filelock,51654126
googleapis-common-protos,51613020
greenlet,51056646
cachetools,50919279
wrapt,49594423
pyasn1-modules,48099432
pyarrow,47053997
requests-toolbelt,45426980
requests-oauthlib,45303664
tzdata,44870285
iniconfig,44568747
pygments,44242845
mypy-extensions,44122125
yarl,43703459
oauthlib,43497670
pyparsing,43340364
annotated-types,43307637
more-itertools,43167770
sortedcontainers,42942279
distlib,42809179
Werkzeug,42422050
multidict,41554425
exceptiongroup,41518255
pathspec,41345577
tomlkit,39987578
markdown-it-py,39962306
psutil,39665421
frozenlist,39180211
beautifulsoup4,37978023
soupsieve,37895173
mdurl,36934956
aiosignal,36296948
tqdm,36240078
grpcio,35870451
mock,35787731
async-timeout,35718859
scipy,35549711
pillow,35486943
coverage,35115012
decorator,34369720
dill,34334102
Deprecated,34329275
Flask,34323301
anyio,34204755
isodate,33973189
sniffio,33387213
python-dotenv,32040719
httpx,31918943
mccabe,31269050
h11,30872588
openpyxl,30843478
httpcore,30635001
et-xmlfile,30617574
pyOpenSSL,30550637
rpds-py,30368550
proto-plus,30292218
lxml,30222268
jsonschema-specifications,29284452
pycodestyle,28612907
poetry-core,28567125
GitPython,28340191
propcache,28255746
asgiref,28210739
referencing,27742409
msgpack,27676395
tenacity,27635564
ptyprocess,27085715
aiohappyeyeballs,26961761
itsdangerous,26939136
pexpect,26902540
azure-core,26902450
google-cloud-storage,26661571
keyring,26273505
PyNaCl,26169226
asn1crypto,25880533
alembic,25137432
websocket-client,25130485
gitdb,25115053
smmap,25106470
pkginfo,24743061
msal,24640333
psycopg2-binary,24463123
isort,24440544
jaraco.classes,24312169
chardet,24282316
google-cloud-core,24164392
jeepney,23963553
SecretStorage,23899195
trove-classifiers,23599823
ruamel.yaml,23340200
regex,23220756
dnspython,23215670
fastapi,23164020
importlib-resources,23078196
shellingham,22885271
build,22686606
opentelemetry-sdk,22598782
py,22570872
google-resumable-media,22537044
pyproject-hooks,22503401
pyflakes,22386158
pytest-cov,22368183
wcwidth,22299965
scikit-learn,22008113
black,21858109
blinker,21825761
bcrypt,21195364
nodeenv,21168206
opentelemetry-api,21069975
matplotlib,20888523
gunicorn,20846449
tabulate,20679073
marshmallow,20603406
backoff,20541463
google-api-python-client,20531277
flake8,20523673
networkx,20410455
redis,20272938
rapidfuzz,20235121
snowflake-connector-python,20228836
poetry-plugin-export,20211980
ply,20189284
google-crc32c,20065029
termcolor,19774048
portalocker,19705099
Cython,19615319
fastjsonschema,19053693
azure-storage-blob,18988980
httplib2,18979265
paramiko,18875435
